endereco_id,cliente_id,tipo,logradouro,numero,complemento,bairro,cidade,uf,cep,principal
36,24,ENTREGA,Rua das Flores,1498,Apto 143,Barra Funda,Guarulhos,SP,09431917,1
37,25,ENTREGA,Avenida Central,2115,,Barra Funda,São Paulo,SP,08066480,1
38,26,ENTREGA,Avenida Central,1050,Apto 36,Santana,São Paulo,SP,03659865,1
39,27,ENTREGA,Rua Harmonia,1115,,Jaraguá,São Paulo,SP,03660885,1
40,28,ENTREGA,Rua Clélia,1942,Apto 149,Tatuapé,Campinas,SP,05558100,1
41,29,ENTREGA,Rua Clélia,1154,Apto 101,Pinheiros,Osasco,SP,03494162,1
42,30,ENTREGA,Rua das Acácias,1014,,Água Branca,Osasco,SP,02717955,1
43,31,ENTREGA,Avenida Paulista,828,Apto 130,Perdizes,São Paulo,SP,01009111,1
44,32,ENTREGA,Rua Aurora,95,,Água Branca,Campinas,SP,07979782,1
45,33,ENTREGA,Avenida Central,1429,,Barra Funda,Campinas,SP,05086823,1
46,34,ENTREGA,Rua Harmonia,626,Apto 62,Pinheiros,Guarulhos,SP,01034699,1
47,35,ENTREGA,Rua Harmonia,279,,Água Branca,São Paulo,SP,08167193,1
48,36,ENTREGA,Rua das Flores,1769,Apto 146,Água Branca,São Paulo,SP,07960283,1
49,37,ENTREGA,Rua Harmonia,2189,Apto 15,Perdizes,Osasco,SP,07786632,1
50,38,ENTREGA,Rua Clélia,1494,,Mooca,Guarulhos,SP,03292887,1
51,39,ENTREGA,Rua das Acácias,1698,Apto 57,Jaraguá,Osasco,SP,09661530,1
52,40,ENTREGA,Avenida Paulista,295,,Tatuapé,Guarulhos,SP,03718425,1
53,41,ENTREGA,Avenida Central,1103,,Barra Funda,Campinas,SP,09692632,1
54,42,ENTREGA,Rua Harmonia,1094,Apto 43,Água Branca,Campinas,SP,09396418,1
55,43,ENTREGA,Rua das Acácias,1434,Apto 17,Barra Funda,Campinas,SP,08392408,1
56,44,ENTREGA,Rua Harmonia,1027,,Santana,Osasco,SP,07823989,1
57,45,ENTREGA,Avenida Paulista,1716,,Santana,Guarulhos,SP,01205865,1
58,46,ENTREGA,Rua das Flores,231,,Tatuapé,Osasco,SP,02790074,1
59,47,ENTREGA,Avenida Brasil,1697,,Jaraguá,Guarulhos,SP,01506253,1
60,48,ENTREGA,Avenida Central,2037,,Santana,São Paulo,SP,08511099,1
61,49,ENTREGA,Rua das Acácias,1943,Apto 32,Barra Funda,Osasco,SP,07260703,1
62,50,ENTREGA,Rua Tito,1346,,Jaraguá,São Paulo,SP,03313553,1
